 7213019.012592 5.627E-28 2.264E-02.03420.038 1025.87920.63-.010277       b      0       X      0                P 27P 27     d57774549271613 6 6    53.0   55.0
 7313020.284830 1.413E-28 2.464E-02.03650.038  979.07200.63-.009100       b      0       X      0                P 26P 26     d65665349271512 1 2   306.0  318.0
 7213020.793726 5.414E-28 2.160E-02.03450.039 1024.09810.63-.010120       b      0       X      0                P 27Q 26     d57774549271613 6 6    53.0   53.0
 7113021.290830 4.344E-25 2.295E-02.03620.039  933.53090.63-.009678       b      0       X      0                P 25P 25     d68774549311613 6 6    49.0   51.0
 7313022.069339 1.356E-28 2.344E-02.03650.038  977.28750.63-.008900       b      0       X      0                P 26Q 25     d65665349271512 1 2   306.0  306.0
 7113023.078592 4.161E-25 2.180E-02.03630.039  931.74310.63-.009823       b      0       X      0                P 25Q 24     d68774549311613 6 6    49.0   49.0
 7113023.484507 5.780E-30 3.022E-07.03540.037  931.33720.63-.009100       b      0       X      0                P 25O 26     q6766534928 7 4 1 2    49.0   53.0
 7213024.003345 7.733E-28 2.270E-02.03650.038  952.89500.63-.009100       b      0       X      0                P 26P 26     d57675349271512 1 2    51.0   53.0
 7313025.323138 1.932E-28 2.470E-02.03620.039  906.83530.63-.009678       b      0       X      0                P 25P 25     d65774549271613 6 6   294.0  306.0
 7213025.792754 7.428E-28 2.162E-02.03650.038  951.10560.63-.008900       b      0       X      0                P 26Q 25     d57675349271512 1 2    51.0   51.0
 7313027.116207 1.851E-28 2.346E-02.03630.039  905.04220.63-.009823       b      0       X      0                P 25Q 24     d65774549271613 6 6   294.0  294.0
 7213028.905454 1.047E-27 2.274E-02.03620.039  882.59010.63-.009678       b      0       X      0                P 25P 25     d57774549271613 6 6    49.0   51.0
 7313030.270479 2.603E-28 2.477E-02.03890.040  837.35360.63-.008900       b      0       X      0                P 24P 24     d65665349271512 1 2   282.0  294.0
 7213030.703174 1.004E-27 2.163E-02.03630.039  880.79230.63-.009823       b      0       X      0                P 25Q 24     d57774549271613 6 6    49.0   49.0
 7113031.394094 7.936E-25 2.311E-02.03850.042  793.20870.58-.009586       b      0       X      0                P 23P 23     d68774549311613 6 6    45.0   47.0
 7313032.072150 2.488E-28 2.347E-02.03890.040  835.55200.63-.008900       b      0       X      0                P 24Q 23     d65665349271512 1 2   282.0  282.0
 7113033.199677 7.568E-25 2.185E-02.03810.041  791.40310.69-.009145       b      0       X      0                P 23Q 22     d68774549311613 6 6    45.0   45.0
 7113033.294795 1.970E-29 8.051E-08.04780.048  188.85310.73-.007500       b      0       X      0                N 11O 10     q6766534928 7 4 1 2    17.0   21.0
 7113033.569735 1.060E-29 3.056E-07.03760.039  791.03310.63-.008900       b      0       X      0                P 23O 24     q6766534928 7 4 1 2    45.0   49.0
 7213033.719104 1.398E-27 2.281E-02.03890.040  814.96720.63-.008900       b      0       X      0                P 24P 24     d57675349271512 1 2    47.0   49.0
 7313035.127037 3.454E-28 2.484E-02.03850.042  770.62980.58-.009586       b      0       X      0                P 23P 23     d65774549271613 6 6   270.0  282.0
 7213035.525174 1.338E-27 2.164E-02.03890.040  813.16110.63-.008900       b      0       X      0                P 24Q 23     d57675349271512 1 2    47.0   47.0
 7313036.937358 3.295E-28 2.349E-02.03810.041  768.81950.69-.009145       b      0       X      0                P 23Q 22     d65774549271613 6 6   270.0  270.0
