SoundingID	longitude	latitude	quality_flag	o2a_intercept(a)	o2a_slope(b)	wco2_intercept(a)	wco2_slope(b)	sco2_intercept(a)	sco2_slope(b)	xco2 (unmodified retrieval)	xco2 (uperturb retrieval)	xco2 (L2)
2015062217261937	-57.75440216	1.791135073	1	0.040568191	0.524679667	0.072900059	0.066242828	0.0	0.0	398.2743201481517	401.40545825548645	396.2470398
2015062217260805	-57.59300613	1.117888689	0	0.014854312	0.263145138	0.03025167	0.045333378	0.0	0.0	403.48979012203733	403.170743881862	398.4980774
2015062217260837	-57.61447144	1.125784755	1	-0.007291286	-0.02348856	-0.061447338	0.107303025	0.0	0.0	400.1220741701057	397.0894522187483	397.1517944
2015062217260806	-57.60160446	1.111723661	1	0.015112684	0.320144761	0.036315952	0.07629395	0.0	0.0	399.489917415797	400.9362178290542	397.4008484
2015062217260774	-57.5802002	1.103957653	0	0.026620012	0.514331996	0.045720785	0.134014898	0.0	0.0	398.04368953383863	400.8085508923147	395.5367737
2015062217260831	-57.56339264	1.163411379	1	0.036801405	0.612183645	0.075592904	0.067222694	0.0	0.0	397.6274178199458	403.5313084357645	395.4182434
2015062217260804	-57.58448029	1.124097943	1	0.012262685	0.382697649	0.034321264	0.130086139	0.0	0.0	400.7224066032086	402.39012160653175	397.6006775
2015062217260775	-57.58872604	1.097750902	1	0.043667548	0.495721705	0.083614836	0.027580344	0.0	0.0	398.59270667161275	402.26588780694925	395.9797974
2015062217262233	-57.75932312	1.997688174	0	0.041408445	0.457128301	0.06458605	0.005303341	0.0	0.0	401.2870146796875	406.26408426131155	398.6572266
2015062217261503	-57.66545105	1.554098368	1	0.058542514	1.012381836	0.115483925	0.046281773	0.0	0.0	399.5644968643449	410.26412749076525	396.9619751
2015062217261504	-57.67392731	1.547712922	1	0.016726804	0.988495438	0.068204708	0.066148067	0.0	0.0	394.4355861617267	404.74771448825504	390.676178
2015062217261008	-57.64439392	1.220537782	0	0.059981012	0.771641212	0.076904148	0.080902412	0.0	0.0	402.56482439935974	406.8410476434503	398.7694092
2015062217261302	-57.63165665	1.439639568	1	-0.020883339	0.423535716	-0.025202684	-0.00809979	0.0	0.0	397.973220570127	404.19939288802897	395.3314819
