SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],,,,,
2018101809323107,55.282047,34.20614,405.4733,93.4596,,,,,
2018101809323108,55.2882,34.197784,404.62708,93.46072,,,,,
2018101809323131,55.23756,34.275436,403.1803,93.63223,,,,,
2018101809323132,55.244244,34.267334,402.78015,93.682076,,,,,
2018101809323133,55.250874,34.25915,403.4744,93.78636,,,,,
2018101809323134,55.257423,34.25092,403.60376,93.63153,,,,,
2018101809323135,55.263832,34.24272,404.46823,93.60931,,,,,
2018101809323136,55.270172,34.234463,405.0684,93.65859,,,,,
2018101809323137,55.276413,34.22616,404.34488,93.69751,,,,,
2018101809323138,55.282566,34.217804,403.67416,93.78745,,,,,
2018101809323171,55.2319,34.295444,398.16492,94.55364,,,,,
2018101809323172,55.238586,34.287342,398.0234,94.2439,,,,,
2018101809323173,55.24522,34.279163,405.98636,93.684326,,,,,
2018101809323174,55.251774,34.27093,403.47964,93.55359,,,,,
2018101809323175,55.25819,34.262737,404.25226,93.639336,,,,,
2018101809323176,55.26453,34.25448,403.89774,93.69709,,,,,
2018101809323177,55.27078,34.246174,403.7595,93.73955,,,,,
2018101809323178,55.276936,34.237823,403.34702,93.76566,,,,,
2018101809323203,55.239594,34.299202,398.68582,94.43686,,,,,
2018101809323204,55.24616,34.290977,399.6954,94.349625,,,,,
2018101809323205,55.252583,34.282787,402.71436,93.91998,,,,,
2018101809323206,55.258934,34.274536,403.67587,93.65851,,,,,
2018101809323207,55.265194,34.26624,405.21558,93.55645,,,,,
2018101809323208,55.271362,34.257893,404.27493,93.719536,,,,,
2018101809323236,55.25336,34.29461,404.88202,93.81897,,,,,
2018101809323237,55.259624,34.286316,403.53415,93.715256,,,,,
2018101809323238,55.265797,34.27797,405.708,93.61729,,,,,
2018101809323278,55.26023,34.298046,402.67697,93.945465,,,,,
