SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,cld_distance
SND2018101809322677,55.354908,33.94612,403.42007,93.810234,0.002556188427216177,-0.00293988873454756,-0.003840745592966563,0.016571904767425504,-0.002004595839114768,0.006125514394867264,12.230909637980059
SND2018101809322678,55.361,33.937744,403.18152,93.79766,0.0033796544405380745,0.0030426473161182183,0.0015848155370695232,-0.0031446651340545488,0.00016652721131532329,0.0035858558375635495,13.178092136361661
SND2018101809322701,55.310757,34.0155,404.56247,93.58457,0.0005474499251585308,0.015052028718961032,0.0002601156430584584,0.009944132926199079,0.0012004119730889113,0.005047176685632662,5.445019802591301
SND2018101809322702,55.317375,34.007374,403.9256,93.64433,0.003015619610692269,0.0017993608894192586,0.001676114382140662,0.0021222921691656633,0.0002746518973170645,0.008338990222579388,5.943630748109317
SND2018101809322703,55.323944,33.999172,404.21896,93.66101,-0.0027557900078612548,0.02792825238031885,-0.002919794348687038,0.015718908698525318,0.0010505432936614141,0.0034943209399825505,6.594738645414533
SND2018101809322704,55.330433,33.99092,402.68317,93.63308,-0.0007106875064651544,0.009734872791882768,0.0027790299790884953,-0.0017802984553595789,0.000116431449196601,0.0017942266629293476,7.3588249027631125
SND2018101809322705,55.336777,33.982708,403.09006,93.890495,-0.0019268225483770336,0.008060313098686447,0.002078242844843828,-0.001109987779297198,-0.0014003673823000235,0.00914516100939946,8.194757492744634
SND2018101809322706,55.343052,33.974426,404.2789,93.70181,-0.0016816148962611975,0.009872390993760615,-0.0009375557662131082,0.008683206288558619,-0.0008958825478371112,0.003724543537423437,9.090271194297499
SND2018101809322707,55.349236,33.966103,406.0892,93.52069,-0.0008119346370188403,0.006053251630795392,0.0017267064624347918,-0.0023615135022778404,-0.0019098640420611018,0.008377297582912542,10.013156484070333
SND2018101809322708,55.355328,33.95773,404.6671,93.73531,-0.0014460439692589014,0.006009361262403793,0.0031076870490301042,-0.007002692499051084,-0.0030175166028094647,0.01418433213067705,10.943887512737025
SND2018101809322731,55.30505,34.035484,404.27106,93.45999,0.003948158667144894,0.008923498722672106,0.0068149597385195075,0.0005404002351715534,0.0009529110705069684,0.016642144921535332,4.207236233976721
SND2018101809322732,55.311672,34.027363,406.30014,93.503426,0.003925323423162975,-0.0020134287917081095,0.005064196395624278,0.002056444509335348,0.0013039811484090748,0.008482121412986758,4.4051077614749685
SND2018101809322733,55.318245,34.01916,406.09805,93.47713,0.0032492705331212844,0.011114639674161557,-0.0004025066653698559,0.016486479918787492,-0.00033546137221797243,0.014997208988993154,4.736511371762306
SND2018101809322734,55.324738,34.01091,406.01822,93.514145,0.0037856189518511644,0.003068239182783498,-0.002332963762401394,0.021431731161965027,0.00040173418891081326,0.007698828674970255,5.330290582728492
SND2018101809322735,55.33109,34.002697,405.19012,93.61824,0.0004878403782870691,0.012866359786320855,-0.000826592085932722,0.010091074715617954,0.003374087616660579,-0.006911397735419626,6.061621990553924
SND2018101809322736,55.337368,33.994415,404.28464,93.65893,0.0025553393085968584,-0.00448093495878218,0.0021136256627560268,-0.0011274570162541741,-0.0016314078545325383,0.011023315177341278,6.89603858584062
SND2018101809322737,55.34355,33.986095,403.9379,93.74209,0.0013923688295154287,-0.0032982457505678544,0.0017192051824243138,-0.0014659262926156379,-0.0006222330160016831,0.006397347497588596,7.795512889178655
SND2018101809322738,55.349648,33.977722,403.89594,93.77567,-0.002626699316321796,0.013831210104643653,-0.0028222479287799023,0.014139692086351859,0.00017762430239628022,0.0011996257088610063,8.724292185732475
SND2018101809322771,55.29934,34.05547,404.85214,93.683136,0.002753719886499758,0.032157411123986644,0.008226025330462919,0.012466142439934368,0.003196149059037074,0.017279136662793883,2.978684267488707
SND2018101809322772,55.30597,34.047348,404.1034,93.5214,-0.0005644933158034802,0.04122208032093016,0.004591474447418037,0.01655773069560616,0.0016266720931014118,0.02378553452791776,3.496928688472929
SND2018101809322773,55.312546,34.03915,405.06995,93.51467,0.004077436923528749,0.018467803149405822,0.006712102812030681,0.005904119474043293,0.0024349293117387986,0.017530739663935233,3.4124778623066563
SND2018101809322774,55.319042,34.0309,403.88168,93.62132,0.002552000033981172,0.022046602718668335,0.004300806530501141,0.007511312420460455,-0.0023213358871051783,0.024901236187743522,3.6123670594281165
SND2018101809322775,55.325397,34.022686,402.99496,93.969894,0.003222931580767692,0.012412446699323404,-0.0008188757095102297,0.021255978446922365,0.003962795837579789,-0.006406948324265779,4.090840917128595
SND2018101809322776,55.33168,34.01441,405.41537,93.57529,-0.0017391279678629114,0.036054552226892106,-0.0017579087019222205,0.020762244748139435,-0.0006624658505061517,0.011261395148453012,4.780005068972182
SND2018101809322777,55.337868,34.00609,404.21948,93.6385,0.0006582789256341777,0.014639056494965552,0.0004834258811739358,0.006780050737758003,0.002085619651421986,0.004671306517333393,5.601936832791484
SND2018101809322778,55.34397,33.99772,403.11148,93.721146,0.0006762088702559342,0.005469496165900503,-0.0004299368481831733,0.006507054925958727,-2.2598245954821955e-05,0.008974043407551572,6.5062212589143105
