SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809322533,55.35208,33.899265,402.88867,93.673096,0.00028213682932708525,0.010101349011192242,0.0001875749665287042,0.004519022752773888,7.675430226656857e-07,0.0037240665784547067
SND2018101809322534,55.35856,33.89101,404.39676,93.60309,0.0003304152781058799,0.011054242603232267,0.00022243916212134727,0.004956256404341335,1.2869410543549817e-06,0.004175300657368174
SND2018101809322535,55.3649,33.882793,405.56787,93.544495,0.00039258901000984765,0.012197230270536987,0.0002679308723408223,0.00548192937282304,2.2623237005881563e-06,0.004730460781013367
SND2018101809322536,55.371166,33.87451,405.73,93.48062,0.0004649507660825652,0.013433501958900328,0.00032159805305429894,0.006051864313369129,3.93495765102036e-06,0.005346859979297101
SND2018101809322537,55.37734,33.866184,403.90015,93.475975,0.0005482738840420923,0.014758607031852437,0.00038421736613646203,0.006664180644458064,6.74807508802809e-06,0.006024683428721781
SND2018101809322538,55.383396,33.857822,403.59866,93.69052,0.0006429595700735694,0.016163271793643054,0.0004562948288467056,0.007314733104658583,1.1364554702865436e-05,0.006761276161035274
SND2018101809322571,55.333405,33.935577,403.32172,93.77682,0.0005918884118039813,0.015417588393837209,0.00041730487244118864,0.006969198776994558,8.668551137705395e-06,0.006368005353117358
SND2018101809322572,55.340015,33.927464,401.90317,93.79417,0.0005005618425137107,0.014011361539975366,0.00034826028720884235,0.006318712919040654,5.009658761175339e-06,0.005640340028342222
SND2018101809322573,55.346558,33.919315,401.90262,93.88484,0.00042100636587254675,0.012693517981287886,0.00028892047595183786,0.005710561026635888,2.843542498224103e-06,0.0049759825716717086
SND2018101809322574,55.353043,33.91106,400.54672,93.60629,0.0003522265694136157,0.011464959329948557,0.0002383269532382559,0.005145003140187688,1.5863321315240162e-06,0.004373095103854548
SND2018101809322575,55.359386,33.902847,404.1242,93.6221,0.0002938690761315153,0.010338969370028048,0.00019600678340967825,0.0046279634013871055,8.769941842505638e-07,0.003835561198993579
SND2018101809322576,55.365654,33.894566,404.9521,93.635635,0.00030543375384271484,0.010569241653546054,0.0002043443292543883,0.004733593803150129,9.950494032814135e-07,0.003944267206008397
SND2018101809322577,55.371834,33.886242,405.85425,93.487526,0.0003621364853497787,0.011647948586911934,0.0002455716402207169,0.005229150431685382,1.7370867420285732e-06,0.0044618389449618
SND2018101809322578,55.37789,33.87788,406.00314,93.49271,0.00042766970582189105,0.012807784666579421,0.00029385870744708884,0.005763233182025357,2.9934620441995196e-06,0.005032882242425559
SND2018101809322601,55.32783,33.955597,401.98026,93.79586,0.0008965012963094827,0.019539723318124015,0.0006532099118858976,0.008883970640875448,3.3721964429798105e-05,0.008601185138967427
SND2018101809322602,55.334435,33.947475,401.8798,93.77068,0.0007631495934169524,0.017823933440142627,0.00054899606488346,0.008085630227021122,1.9909923034637495e-05,0.00765450465040612
SND2018101809322603,55.340973,33.93932,404.18185,93.65117,0.0006444214023069311,0.016184233788169092,0.00045741456933193035,0.0073244521951643885,1.1449314987986367e-05,0.0067724031354329675
SND2018101809322604,55.347446,33.93106,402.64258,93.77287,0.0005405696740752488,0.014639895215607511,0.0003783938738605152,0.006609268383179351,6.442745480652832e-06,0.005963267404833272
