# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2017-07-21
# NFiles = 288, max geo IngestTime = 2018-01-29 19:56:28.888425
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2017202.1450.061.2018029185358.hdf,2017-07-21 14:50,61,80929,D,5.80071150432137,-28.6403291788537,-50.057230613068,-27.3414372110868,5.80313857941728,-25.8587815829376,-27.3601810887365,-2.60177954998006,-45.5558020324568,-50.0730769901908,-31.8414621190325,-28.5304546697732
MYD03.A2017202.1455.061.2018029185630.hdf,2017-07-21 14:55,61,80929,D,-3.05640430912148,-11.1537012910537,-32.1875759228411,-29.982278341388,-3.05181193305335,-27.4190510771928,-30.0047859793051,-8.40266941481777,-28.7124632316213,-32.2098224261375,-14.0529674028829,-11.0980318216198
MYD03.A2017202.1500.061.2018029184932.hdf,2017-07-21 15:00,61,80929,D,-8.70423736378753,6.63719099875526,-14.273272733803,-33.4935205907223,-8.69828453097891,-29.9821200678601,-33.5012296324268,-12.6326160207434,-11.2278012375092,-14.2933762515728,3.68164929642798,6.65542966773047
MYD03.A2017202.1505.061.2018029190332.hdf,2017-07-21 15:05,61,80930,D,-12.7746916448373,24.649965955586,3.59926110364674,-38.2853363398341,-12.7214203102176,-33.4854341142424,-38.3421187437125,-15.9081827852693,6.57120821953306,3.58101902760402,21.4340111925583,24.7768768884034
MYD03.A2017202.1510.061.2018029185559.hdf,2017-07-21 15:10,61,80930,D,-15.8871209193258,42.5971111001505,21.3750053586282,-45.3774319818115,-15.6551265520571,-38.2697224662401,-45.5220467380126,-18.2040287143165,24.5928887649498,21.3597308268141,38.664436184731,42.8478221464414
MYD03.A2017202.1515.061.2018029185328.hdf,2017-07-21 15:15,61,80930,D,-18.1626131557057,60.5044982187786,38.635899779936,-57.8191127922589,-17.7195727553219,-45.3430652240095,-58.1167796178256,-19.2134752361162,42.5285952869349,38.6251051468911,54.8403231457015,60.8431261044809
MYD03.A2017202.1520.061.2018029190715.hdf,2017-07-21 15:20,61,80930,D,-14.6078359537,78.4304029698717,54.8824873269616,-85.3809421098029,-18.4167658243815,-57.7559956672208,-85.7864455293787,-14.3779234617492,60.4001942682826,54.8770205617593,67.7424966802353,78.6430064825596
MYD03.A2017202.1525.061.2018029191021.hdf,2017-07-21 15:25,61,80930,D,180,89.9865186671341,67.9579653662967,-180,-12.8871233467581,-85.2123651760754,-137.379159365759,131.231226621032,78.072217031782,67.9562046257505,69.8776806701887,82.7936231299028
MYD03.A2017202.1530.061.2018029185207.hdf,2017-07-21 15:30,61,80930,D,-137.53938965367,83.690452008262,59.2023714966293,129.576610490402,127.066466643502,-137.537356491984,-172.325364919742,142.600578690219,83.1580708602418,70.241117406446,58.9614766966717,65.2383624112081
MYD03.A2017202.1535.061.2018029185628.hdf,2017-07-21 15:35,61,80930,N,-172.897865873595,65.7700497530006,43.5169619523161,142.14714199354,141.77921896964,-172.896380376106,172.273115990818,142.152232873291,65.723039980245,59.2645094734589,43.3703571777809,47.4419231022611
